Started at: 1658347136.144673
Opened database successfully
Found table successfully
Previous item found in mysql attempt kill & delete
Display Script Successfully Updated in SQLight
{'module': 'script_display.myscript', 'name': 'app_display', 'group': ['group1', 'group2', 'group3'], 'logfile': True, 'autorestart': 0, 'logdir': 'D:\\Python\\Monitoring Scripts\\SilentPython 3 Export\\logs\\app_display/2022_07_20-20_58_56.log', 'pid': 9056, 'status': 1, 'state': 'starting', 'ts_created': 1658347136.144673, 'count_cycle': 0}
try import.......script_display.myscript
HTML Table Updated1658347136.264679
HTML Table Updated1658347138.270728
HTML Table Updated1658347140.276546
HTML Table Updated1658347142.282545
HTML Table Updated1658347144.288932
HTML Table Updated1658347146.294326
HTML Table Updated1658347148.300459
HTML Table Updated1658347150.305544
HTML Table Updated1658347152.311309
HTML Table Updated1658347154.316422
HTML Table Updated1658347156.321852
HTML Table Updated1658347158.327539
HTML Table Updated1658347160.335276
HTML Table Updated1658347162.340497
HTML Table Updated1658347164.346082
HTML Table Updated1658347166.351828
HTML Table Updated1658347168.357697
HTML Table Updated1658347170.36297
HTML Table Updated1658347172.368859
HTML Table Updated1658347174.374734
HTML Table Updated1658347176.379802
HTML Table Updated1658347178.385135
HTML Table Updated1658347180.390607
HTML Table Updated1658347182.395772
HTML Table Updated1658347184.401736
HTML Table Updated1658347186.40708
HTML Table Updated1658347188.412133
HTML Table Updated1658347190.417508
HTML Table Updated1658347192.422567
HTML Table Updated1658347194.4276
HTML Table Updated1658347196.433221
HTML Table Updated1658347198.43908
HTML Table Updated1658347200.444092
HTML Table Updated1658347202.449791
HTML Table Updated1658347204.455662
HTML Table Updated1658347206.461674
HTML Table Updated1658347208.46637
HTML Table Updated1658347210.471458
HTML Table Updated1658347212.477205
HTML Table Updated1658347214.482432
HTML Table Updated1658347216.487271
HTML Table Updated1658347218.492854
HTML Table Updated1658347220.498449
HTML Table Updated1658347222.504175
HTML Table Updated1658347224.510405
HTML Table Updated1658347226.516672
HTML Table Updated1658347228.522437
HTML Table Updated1658347230.527612
HTML Table Updated1658347232.53279
HTML Table Updated1658347234.538497
HTML Table Updated1658347236.543667
